name,                          rail, epaule,  coude, poignet
default,                       2500,   2000,   1000,     800
transport,                     2200,   2000,   1000,     800
sol_preprise,                  2200,   1800,    700,     900
sol_prise,                     2200,   1770,    570,     930
sol_postprise,                 2000,   2000,    700,     800
dist_chope,                    1900,   1900,    840,     600
dist_tire,                     2700,   1900,    840,     600
dist_preprise,                 2700,   2000,    940,     450
dist_prise1_0,                 2200,   2200,    680,     490
dist_prise1_1,                 2200,   2700,    680,     490
dist_postprise1,               2200,   2700,    680,     650
dist_prise2_0,                 2300,   1920,    710,     520
dist_prise2_1,                 2350,   2700,    660,     490
dist_postprise2,               2350,   2700,    680,     650
dist_h_prise,                  2500,   1800,    830,     670
flip,                          1900,   2050,    620,     450
galerie_pre_depose,            2020,   2200,    950,     700
galerie_depose,                2020,   1720,    950,     850
