name,rail,rotation,epaule,coude,tete
prise_devant,550,2024,2300,785,50
prise_devant_tasse,520,2024,2450,730,50
prise_devant_g,550,2024,2300,785,664
prise_devant_g_tasse,520,2024,2450,730,664
predepose_stock,550,2024,2400,500,50
predepose_sol_1,550,2024,2700,575,50
predepose_sol_2,550,2024,2550,575,50
depose_sol,330,2024,2700,575,50
prise_stock_g,386,2038,2212,512,668
prise_stock_d,550,2012,2646,238,69
preprise_stock_g,550,2038,2212,512,668
p1,550,2038,2396,376,669
p2,520,2024,2529,594,50
p3,377,2024,2772,490,50
p4,159,2024,2945,474,50
p5,330,2024,2550,575,50
p6,330,2024,2550,575,50
p7,330,2024,2550,575,50
pp1,561,2036,2205,512,668
pp2,550,2012,2226,969,69
pp3,550,2012,3105,969,69
pp4,550,2012,3105,91,69
pp5,550,2012,2646,238,69
pp6,550,2024,2364,408,69
pp7,395,2024,2245,496,69
hold_g,550,2012,2646,238,69
rampe_depose,555,1762,2094,176,564
rampe_predepose,555,1762,2231,176,564
rampe_pre5,555,1762,2417,176,530
rampe_pre4,555,1585,2790,176,530
rampe_pre3,555,1840,2798,198,627
rampe_pre2,555,2073,2790,304,661
rampe_pre1,555,1767,2790,176,621

pre_depart_gauche,557,2043,2907,609,671
pre_depart_droite,557,2043,2907,609,51
prepare_stock_droite_haut,570,2033,2220,506,48
prepare_stock_droite_1_palet,390,2033,2220,506,48
prepare_stock_droite_2_palet,470,2033,2220,506,48
prepare_stock_gauche_haut,570,2033,2220,506,671
prepare_stock_gauche_1_palet,390,2033,2220,506,671
prepare_stock_gauche_2_palet,470,2033,2220,506,671
milieu_droite,556,2049,2680,433,51
milieu_gauche,556,2049,2680,433,671

preprise_distrib_4_5,173,1087,2422,719,333
prise_distrib_4_5,351,1356,2360,745,251
preprise_distrib_1_2,173,1087,2422,719,333
prise_distrib_1_2,350,2781,2371,748,441
stocke_distrib_int1_gauche,555,2781,2371,748,441
stocke_distrib_int2_gauche,555,2051,2229,510,666
stocke_distrib_gauche,555,2051,2150,510,666
depose_intermediaire,559,1306,2688,373,74
depose_inter2,557,2042,2443,332,44
depose_inter3,500,2042,2443,332,44

preprise_step0_5_6,543,2045,2199,559,28
preprise_step1_5_6,450,1630,2304,557,28
preprise_step2_5_6,336,1317,2197,813,271
prise_5_6,336,1317,2356,835,271
predepose_step1_5_6,543,1397,2208,753,187
predepose_step2_5_6,543,1397,2208,753,80
predepose_step3_5_6,543,1734,2233,714,80
predepose_step4_5_6,543,2045,2233,591,54
depose_5_6,543,2026,2199,559,54
recupe_5_6,503,2026,2199,559,54

prise_4_5,541,2074,2438,836,40
preprise_4_5,541,2074,2178,801,40
predepose_step1_4_5,555,2074,2078,950,40

prise_3_4,541,2074,2378,801,478
preprise_3_4,541,2074,2178,801,478
predepose_step1_3_4,555,2074,2078,950,478

preprise_2_3_step1,554,2086,2050,886,0
preprise_2_3_step2,554,2799,2050,886,0
preprise_2_3_step3,554,2799,2050,886,503
preprise_2_3_step4,380,2671,2263,886,478
prise_2_3,380,2723,2400,806,478
predepose_step1_2_3,400,2723,2260,886,478
predepose_step2_2_3,554,2723,2260,700,600
predepose_step3_2_3,554,2314,2260,680,630
predepose_step3_2_3,559,2054,2200,610,654
depose_2_3,559,2026,2220,560,654
recupe_2_3,459,2026,2220,560,654

pretir_step1,560,2075,2159,904,40
pretir_step2,560,2075,3150,373,40
pretir_step3,560,2075,3150,373,487
pretir_step4,560,2075,2650,268,487
pretir_step5,560,2075,2650,268,487
pretir_interne_step1,560,2004,2590,217,89
pretir_interne_step2,560,2430,2494,228,92
pretir_interne_step3,560,2430,2139,272,92
tir_extremite,560,1836,2300,268,487
tir_interne,560,2430,2129,272,92
prise_tir,450,2036,2241,552,46
prise_redium,350,2036,2241,552,46

prepare_tir,561,2089,2875,360,593
approche_depose,561,2450,2542,224,559
depose_lanceur,561,2450,2118,238,566
