name,rail,rotation,epaule,coude,tete
idle_droit,552,2038,2350,490,48
idle_gauche,554,2057,2436,471,671

p65_pre1,555,1485,2184,724,41
p65_pre2,308,1243,2227,842,282

p6,325,1261,2304,836,287
p65,332,1321,2375,828,261

r65_1,554,1339,2217,847,255
r65_2,554,1170,2168,866,21
r65_3,553,1191,2353,553,33
r65_4,551,1463,2290,614,44
r65_5,552,2038,2290,518,48

d65,452,2038,2290,518,48

p54_pre1,542,2022,2218,842,44

p54,522,2031,2393,822,44

r54_1,556,2027,2195,942,53
r54_2,555,2051,1977,982,44
r54_3,557,2029,1995,812,44
r54_4,552,2038,2290,518,48

d54,452,2038,2290,518,48

p43_pre1,542,2022,2218,842,664

p43,522,2031,2393,822,664

r43_1,556,2027,2195,942,664
r43_2,555,2051,1977,982,664
r43_3,557,2029,1995,812,664
r43_4,552,2038,2290,518,664

d43,452,2038,2290,518,664

td1,555,2066,2304,557,44
td2,555,1228,2483,484,43
td3,555,1264,2907,822,343

tg3,555,2712,2907,822,343
tg2,555,2911,2485,494,663
tg1,555,2051,2467,474,666

p32_pre1,502,2456,2312,693,652
p32_pre2,356,2744,2295,805,462

p32,354,2738,2387,789,458

r32_1,555,2632,2194,846,491
r32_2,555,2504,2408,483,667


dg_1,533,2040,2381,548,664
dg_2,533,2040,2190,548,664

dd_1,533,2040,2381,548,44
dd_2,533,2040,2190,548,44

sg1,534,2036,2267,517,664
sgh,469,2036,2267,517,664
sgb,384,2036,2267,517,664

sd1,534,2036,2267,517,44
sdh,469,2036,2267,517,44
sdb,384,2036,2267,517,44

e_1,557,2066,2892,222,666
e_2,556,2500,2760,223,541
e_3,554,2407,2112,244,541
e_lache,556,2412,2222,223,542
