name,rail,coude,tete
sol_intermediaire,1060,1600,510
sol_preprise_intermediaire,1060,1600,900
sol_preprise,990,880,900
sol_prise,990,880,855
gold_preprise,1100,2281,745
gold_prise,870,2278,726
gold_stockage_intermediaire1,960,2278,850
gold_stockage_intermediaire2,960,2281,850
gold_stockage,1304,2281,981
stk_av_retrait,1000,3080,550
stk_av_prise,1040,3075,518
stk_av_tasse,1000,3075,510
stk_ar_retrait,1845,3075,570
stk_ar_prise,1845,3075,510
stk_ar_tasse,1782,3075,510
acc_pre_depose,1043,2401,775
acc_depose,1020,2185,775
acc_pre_tassage,1350,2530,355
acc_tassage,1200,2530,355
acc_tassage2,1400,2160,610
